Termo_Corrigido,NLD,Rótulo_Original
Parana,"The Paraná Basin is a large intracratonic sedimentary basin in south-central South America that is filled by a thick succession of Paleozoic and Mesozoic sedimentary and volcanic rocks. It is notably characterized by the extensive flood basalts of the Serra Geral Formation, which constitutes one of the world's largest continental igneous provinces.",BACIA
mollusk,"A fossil mollusk is a fossil that consists of the preserved remains or traces of an invertebrate animal belonging to the phylum Mollusca. These fossils are abundant in the geological record from the Cambrian to the present, commonly preserved as their original calcareous shells or as molds and casts within sedimentary rocks. They are significant as both index fossils for biostratigraphic correlation and as primary rock-forming components, such as in the bivalve coquinas that constitute important carbonate reservoirs.",FOSSEIS
failure,"A failure is a geological structure that results from the loss of cohesion and mechanical strength of a rock mass when subjected to stresses that exceed its resistance. This process can manifest as brittle deformation, such as faults and fractures, or as ductile deformation and mass movements.",ESTRUTURA_FISICA
ripple,"A ripple is a sedimentary structure that consists of a series of small-scale, subparallel ridges and troughs formed on a granular surface by the action of a moving fluid. Its morphology, whether symmetrical or asymmetrical, is indicative of the hydrodynamic conditions of the depositional environment, such as oscillatory wave action or unidirectional currents, respectively.",ESTRUTURA_FISICA
scarp,A scarp is a geomorphological feature that consists of a steep slope or cliff formed by tectonic displacement along a fault or by differential erosion. This feature separates two surfaces of different elevations and can occur in both subaerial and submarine environments.,ESTRUTURA_FISICA
pelecypod,"A pelecypod is a fossil of a bivalve mollusk characterized by a shell composed of two hinged, calcareous valves that are typically mirror images of one another. These fossils are common rock-forming components in marine and freshwater sedimentary successions. They serve as important paleoenvironmental indicators and are used in biostratigraphy.",FOSSEIS
bioclasts,"Bioclasts are sedimentary particles that are derived from the fragmentation of the hard parts of organisms, such as shells, skeletons, or tests. These constituents are fundamental components of many carbonate rocks, where they can be preserved as fossils. Their identification provides crucial information about the depositional environment and age of the rock.",FOSSEIS
spherulites,"Spherulites are subspherical, sand-sized carbonate grains that are characterized by an internal fabric of radially arranged acicular crystals, typically calcite or aragonite, originating from a central point. They are a type of non-skeletal allochem formed by direct physicochemical precipitation, often with microbial influence, in specific depositional environments such as alkaline lacustrine systems.",ROCHA
contact,"A contact is a surface that marks the physical interface between adjacent rock units of differing lithology, age, or structural history. This interface can be depositional, such as the boundary between two sedimentary layers; intrusive, where an igneous body cuts across existing rock; or tectonic, where the juxtaposition is caused by a fault.",ESTRUTURA_FISICA
Guaruja,"The Guaruja Formation is a lithostratigraphic unit of formation rank within the Santos Group that is composed of Late Cretaceous deep-water siliciclastic deposits. It is characterized by the predominance of turbiditic sandstones, which constitute significant hydrocarbon reservoirs, interbedded with shales and marls. This unit represents deposition in a deep marine environment of the Santos Basin during the post-rift phase.",UNIDADE_LITO
calcilutite,A calcilutite is a lithified carbonate rock that is composed predominantly of silt- and clay-sized carbonate particles.,ROCHA
ridge,"A ridge is an elongated, positive paleo-topographic feature that separates adjacent depositional lows, typically representing a zone of higher hydrodynamic energy. This feature fundamentally controls the distribution and character of sedimentary facies, particularly the development of carbonate buildups. These structures are critical for the formation of microbial and coquina reservoirs, such as those found in the Brazilian Pre-Salt.",ESTRUTURA_FISICA | PALEOAMBIENTE
tufa,"A tufa is a porous carbonate rock that is formed by the precipitation of calcium carbonate from ambient-temperature water, typically in freshwater environments such as springs and lakes. It is distinguished by a spongy, cellular fabric that commonly results from the encrustation of plants, microbes, or other organic matter.",ROCHA
water,"Water is a naturally occurring subsurface fluid that is composed of the polar inorganic compound H₂O and contains a variable amount of dissolved solids. It is a fundamental component of petroleum systems, occupying the pore space of rocks and influencing diagenesis, fluid flow, and hydrocarbon accumulation. Its physical and chemical properties, such as salinity and density, are critical for reservoir characterization and production.",FLUIDODATERRA
spherestone,"A spherestone is a grain-supported carbonate rock that is composed predominantly of spherulites, which are spherical to subspherical, non-skeletal, concentrically laminated grains. This lithology is a characteristic and important reservoir facies within the lacustrine successions of the Brazilian Pre-Salt.",ROCHA
Neoproterozoic,"The Neoproterozoic is the terminal geologic era of the Proterozoic Eon that extends from 1,000 to 538.8 million years ago. This era is characterized by major tectonic events, including the breakup of the supercontinent Rodinia, and the most severe glaciations in Earth's history. It culminates with the appearance of the first complex multicellular organisms, known as the Ediacaran biota.",UNIDADE_CRONO
Campos,"The Campos Basin is an offshore passive margin basin located on the southeastern Brazilian continental margin that was formed during the Early Cretaceous rifting of the South Atlantic Ocean. It represents Brazil's most prolific petroleum province, hosting giant oil fields in post-salt deepwater turbidite reservoirs and significant accumulations in the underlying pre-salt carbonate section.",BACIA
Aptian,"The Aptian is a chronostratigraphic stage of the Lower Cretaceous Series that encompasses all rock strata deposited between the end of the Barremian Stage and the beginning of the Albian Stage. This stage corresponds to the geologic time interval from approximately 125.0 to 113.0 million years ago. In the South Atlantic marginal basins, the Aptian is the critical interval during which the prolific microbial and coquina carbonate reservoirs of the Pre-Salt were deposited under sag-phase lacustrine conditions.",UNIDADE_CRONO
Campos Basin,"The Campos Basin is an Atlantic-type marginal rift basin that is located on the southeastern Brazilian continental margin, formed during the Early Cretaceous separation of South America and Africa. It constitutes one of Brazil's most prolific petroleum provinces, hosting giant hydrocarbon accumulations. The basin's main reservoirs are found in post-salt deep-water turbidite sandstones and pre-salt microbial carbonates.",BACIA
Alagoas,"Alagoas is a Brazilian chronostratigraphic superstage that is positioned in the Lower Cretaceous, being chronocorrelated with the Aptian Stage of the international geological time scale. This unit records the final stages of rifting and the beginning of the marine transgression in the South Atlantic, encompassing the deposition of the main evaporitic section in the Brazilian marginal basins.",UNIDADE_CRONO
lakes,"A lacustrine paleoenvironment is a continental depositional system that is centered on a permanent or semi-permanent standing body of water within a topographically enclosed basin. Sedimentation is controlled by factors such as water chemistry, climate, tectonics, and biological activity, resulting in deposits that can range from siliciclastic to chemical and biogenic carbonates. These systems are characterized by relatively low-energy conditions, although wave and current action can be significant in larger lakes.",PALEOAMBIENTE
Barra Velha,"Barra Velha is a lithostratigraphic formation of Aptian age that constitutes the main reservoir of the Brazilian Pre-Salt province in the Santos and Campos basins. It is composed of a complex succession of lacustrine carbonates, characterized by unique microbial and abiotic facies such as shrubs and spherulites, deposited within a continental rift system. The formation's extreme heterogeneity in depositional textures and diagenetic overprint exerts a primary control on its reservoir quality.",UNIDADE_LITO
Jiquiá,"Jiquiá is a local chronostratigraphic stage of the Brazilian geological time scale that corresponds approximately to the Barremian Stage of the Lower Cretaceous. Positioned between the underlying Aratu Stage and the overlying Alagoas Stage, it represents a critical time interval for the deposition of pre-salt lacustrine source rocks and carbonate reservoirs in Brazilian marginal basins.",UNIDADE_CRONO
Kwanza,The Kwanza Basin is a South Atlantic passive margin basin located offshore Angola that represents the African conjugate to the prolific hydrocarbon provinces of the Santos and Campos basins in Brazil. It was formed during the Early Cretaceous rifting of Gondwana and is characterized by a thick Aptian salt succession that overlies a major pre-salt petroleum system hosted in lacustrine carbonates. The basin also contains significant post-salt petroleum accumulations in clastic and carbonate reservoirs.,BACIA
Albian,"The Albian is a chronostratigraphic stage that represents the final subdivision of the Lower Cretaceous Series. As a geologic age, it follows the Aptian and precedes the Cenomanian, spanning the time interval from approximately 113.0 to 100.5 million years ago. In the context of Brazilian marginal basins, this interval is marked by the onset of the post-rift thermal sag phase, encompassing significant marine carbonate platform deposition overlying the pre-salt rift section.",UNIDADE_CRONO
faulting,"Faulting is a geological process of brittle deformation that involves the fracture and subsequent displacement of rock masses along a discrete surface or zone. This process occurs when accumulated tectonic stress exceeds the rock's shear strength, causing relative movement between the resulting rock blocks. It is a primary mechanism for accommodating strain in the Earth's upper crust.",ESTRUTURA_FISICA
Precambrian,"The Precambrian is a geochronologic supereon that encompasses the Hadean, Archean, and Proterozoic Eons. It represents the vast interval of geologic time from the formation of the Earth, approximately 4.6 billion years ago, until the beginning of the Cambrian Period, 538.8 million years ago. This supereon accounts for approximately 88% of Earth's history and is marked by the origin of life, the oxygenation of the atmosphere, and the assembly of the first continents.",UNIDADE_CRONO
laminations,"Laminations are a type of primary sedimentary structure that consists of planar layers, typically less than one centimeter thick, which are distinguishable from adjacent layers by changes in properties such as grain size, mineralogy, or organic matter content. These structures record short-term fluctuations in depositional conditions.",ESTRUTURA_FISICA
lamination,"Lamination is a primary sedimentary structure that consists of a sequence of planar to sub-planar layers, or laminae, that are individually less than one centimeter thick. These laminae are distinguished by variations in grain size, mineralogy, or organic matter content. This structure typically reflects short-term, often rhythmic, changes in depositional energy or sediment supply.",ESTRUTURA_FISICA
Itapema,"Itapema is an Aptian-age lithostratigraphic unit of the Santos Basin Pre-Salt that constitutes the upper section of the Barra Velha Formation. It is characterized by a succession of laminated microbial carbonates, spherulites, and reworked grainstones deposited in a high-energy, alkaline lacustrine system. This unit represents one of the most important reservoir intervals in the Brazilian Pre-Salt due to its distinct depositional facies and diagenetic history.",UNIDADE_LITO
Formação Barra Velha,"The Barra Velha Formation is an Aptian-age lithostratigraphic formation of the Santos Basin that is characterized by a unique succession of lacustrine carbonates deposited in a saline alkaline lake system. This unit is composed of highly porous facies, including microbialites and reworked coquinas, which constitute the primary petroleum reservoirs of the Brazilian Pre-Salt.",UNIDADE_LITO
alluvial,"An alluvial paleoenvironment is a terrestrial depositional environment that is dominated by fluvial processes of erosion, transport, and deposition by rivers and streams. It comprises a range of sub-environments, including alluvial fans, braided river plains, and meandering river floodplains. The resulting deposits, collectively known as alluvium, typically consist of poorly to moderately sorted siliciclastic sediments ranging from conglomerates to mudstones.",PALEOAMBIENTE
Santos Campos,Santos Campos is a world-class petroleum province on the southeastern Brazilian continental margin that comprises the adjacent Santos and Campos basins. This province is globally significant for hosting prolific deepwater post-salt siliciclastic reservoirs and the giant pre-salt hydrocarbon accumulations in microbial and coquinoid carbonates. It represents the primary locus of oil and gas production and exploration in Brazil.,BACIA
vuggy,"A vuggy structure is a physical characteristic of a rock that is defined by the presence of pores, known as vugs, which are substantially larger than the rock's primary fabric-forming components. These vugs are commonly created by the dissolution of minerals or allochems, and their degree of interconnection is a critical factor controlling the effective permeability of the reservoir.",ESTRUTURA_FISICA
Santos Basin,"The Santos Basin is an Atlantic-type marginal basin that is located on the southeastern continental margin of Brazil, formed during the Early Cretaceous rifting of the South Atlantic Ocean. It is bounded by the Cabo Frio High to the north and the Florianópolis High to the south. The basin is globally renowned for hosting the most significant giant and super-giant hydrocarbon accumulations of the 21st century, situated primarily within the lacustrine carbonate reservoirs of the pre-salt succession.",BACIA
CO2,"Carbon dioxide (CO2) is a naturally occurring, inorganic fluid component that is commonly found associated with, or dissolved in, hydrocarbon accumulations within a petroleum system. Under reservoir conditions, it can exist as a gas, liquid, or supercritical phase, significantly influencing the physical properties and phase behavior of the reservoir fluids. Its origin can be magmatic, biogenic, or related to the thermal maturation of organic matter and minerals.",FLUIDODATERRA
cracks,A crack is a fracture that forms a narrow surface of physical separation within a rock body where cohesion has been lost due to stress. This discontinuity is typically of a small scale and accommodates strain with little to no shear displacement.,ESTRUTURA_FISICA
silt,Silt is a clastic sediment that is composed of mineral particles with a grain size diameter ranging from 0.0039 to 0.0625 millimeters. It typically consists of fine-grained fragments of quartz and feldspar. This unconsolidated material is distinguished from clay by its low plasticity and from sand by its lack of grittiness to the fingers.,NAO_CONSOLID
