Term,Category,Reasoning,Original_Label,NLD
travertine,Sedimentary Rock,"The NLD explicitly defines the term as a 'freshwater carbonate rock' formed by chemical precipitation, which fits the definition of a sedimentary rock.",ROCHA,"Travertine is a freshwater carbonate rock that is formed by the rapid, abiotic precipitation of calcium carbonate minerals from geothermally heated springs or other supersaturated surface waters. It is characterized by a distinctive porous, fibrous, or concentrically banded fabric resulting from rapid crystal growth. These deposits typically form terraced mounds at springs or can occur in lacustrine and fluvial settings."
dolostone,Sedimentary Rock,The NLD explicitly defines the term as a 'carbonate sedimentary rock'.,ROCHA,"A dolostone is a carbonate sedimentary rock that is composed predominantly of the mineral dolomite. It typically forms through the diagenetic replacement of precursor carbonate minerals in limestone by magnesium-rich fluids, a process known as dolomitization."
arenite,Sedimentary Rock,"The NLD explicitly defines the term as a 'sedimentary rock' composed of sand-sized grains, which is a direct match to the category definition.",ROCHA,An arenite is a siliciclastic sedimentary rock that is composed predominantly of sand-sized framework grains and contains less than 15% of interstitial fine-grained matrix.
marine,site,"The NLD defines a paleoenvironment as a setting or location situated within a material entity (an ocean or sea), which corresponds to the BFO definition of a site.",FLUIDODATERRA | PALEOAMBIENTE,"A marine paleoenvironment is a depositional environment that is situated within an ocean or sea, where the accumulation of sediments is governed by saltwater conditions and associated physical, chemical, and biological processes. It encompasses a wide spectrum of settings, ranging from shallow, high-energy nearshore zones to deep, low-energy abyssal plains. This environment is fundamentally distinguished from non-marine environments by its direct connection to the global ocean."
dolomite,Sedimentary Rock,The NLD explicitly defines the term as a sedimentary carbonate rock predominantly composed of the mineral dolomite.,MINERAIS | ROCHA,"Dolomite is an anhydrous carbonate mineral that is composed of calcium magnesium carbonate (CaMg(CO₃)₂). The term also defines a sedimentary carbonate rock, commonly known as dolostone, that is predominantly composed of the mineral dolomite."
ooid,Geological Object,"The NLD defines an ooid as a discrete sedimentary grain with its own identity and unity (nucleus and cortex), which is generated by a geological process of precipitation.",NAO_CONSOLID,"An ooid is a coated sedimentary grain, typically subspherical and less than 2 mm in diameter, that is composed of a nucleus enveloped by a cortex of concentric carbonate laminae. These laminae are formed by chemical or microbial precipitation in an agitated, shallow-water environment. Ooids are a primary constituent of high-energy grainstone reservoirs."
claystone,Sedimentary Rock,"The NLD defines claystone as a 'lithified... mudrock... composed predominantly of clay-sized siliciclastic particles,' which directly aligns with the definition of a rock constituted by sedimentary grains.",ROCHA,A claystone is a lithified and non-fissile mudrock that is composed predominantly of clay-sized siliciclastic particles. It is distinguished from shale by its tendency to break into blocky or conchoidal fragments rather than thin laminae.
coquina,Sedimentary Rock,"The NLD explicitly defines coquina as a type of cemented rock composed of accumulated fragments of shells, which fits the definition of a Sedimentary Rock.",ROCHA,"A coquina is a type of bioclastic carbonate rock that is composed predominantly of coarse-grained (>2 mm), mechanically accumulated, and cemented fragments of invertebrate shells, such as bivalves and gastropods. It typically forms in high-energy, shallow-marine to lacustrine environments and is characterized by high primary interparticle porosity. This rock type constitutes one of the main facies of the microbial-bioclastic carbonate reservoirs in the Brazilian Pre-Salt."
Cretaceous,Geological Time Interval,"The NLD explicitly defines the term as a chronostratigraphic system that corresponds to a specific time interval, from approximately 145 to 66 million years ago.",UNIDADE_CRONO,"The Cretaceous is a chronostratigraphic System of the Mesozoic Erathem that encompasses all rocks formed during the Cretaceous Period. It is positioned stratigraphically above the Jurassic System and below the Paleogene System, corresponding to a time interval from approximately 145 to 66 million years ago. This system is named for its characteristic chalk deposits and includes the rock successions of globally significant petroleum provinces, such as the Brazilian Pre-Salt."
peloid,Sedimentary Geological Object,"The NLD defines a peloid as a distinct carbonate grain, which is a type of geological object that constitutes sediment or sedimentary rock.",NAO_CONSOLID,"A peloid is a carbonate grain that is composed of microcrystalline or cryptocrystalline carbonate and is distinguished by a lack of discernible internal structure. It is typically sand-sized, with a spherical to ovoid shape, and its origin is often polygenetic, commonly attributed to fecal pellets or the complete micritization of other grains."
limestone,Sedimentary Rock,The NLD explicitly defines limestone as a 'carbonate sedimentary rock' composed of sedimentary grains and particles.,ROCHA,"A limestone is a carbonate sedimentary rock that is composed of more than 50% calcium carbonate (CaCO₃), typically in the form of the minerals calcite or aragonite. It can be formed by the accumulation of skeletal fragments of marine organisms, by direct chemical precipitation, or as a clastic rock derived from other limestones. A key diagnostic feature is its vigorous effervescence when in contact with dilute acid."
wackestone,Sedimentary Rock,"The NLD defines it as a 'carbonate rock' containing 'grains' and a 'matrix', which directly aligns with the definition of a rock constituted by a collection of sedimentary grains or particles.",NAO_CONSOLID | ROCHA,"A wackestone is a mud-supported carbonate rock that, according to the Dunham classification, contains more than ten percent allochems (grains) set in a dominant carbonate mud matrix (micrite)."
gastropod,Sedimentary Geological Object,"The NLD defines a gastropod fossil as a physical object whose accumulations form coquinas, which are a type of sedimentary reservoir rock.",FOSSEIS,"A gastropod is a fossil of a mollusk from the class Gastropoda that is characterized by a single, univalve shell, which is typically coiled in a helical or planospiral manner. Due to their wide distribution and evolutionary diversity, they serve as important index fossils for biostratigraphic correlation and as indicators for paleoenvironmental reconstructions. In lacustrine depositional systems, such as the Brazilian Pre-Salt, massive accumulations of their shells form coquinas, which constitute significant reservoir rock facies."
calcarenite,Sedimentary Rock,"The NLD explicitly defines the term as a 'carbonate sedimentary rock' composed of grains, which directly matches the category definition.",ROCHA,"A calcarenite is a carbonate sedimentary rock that is composed of more than 50% sand-sized (0.0625 to 2 mm) carbonate grains. These grains can consist of various particle types, such as ooids, peloids, intraclasts, or skeletal fragments (bioclasts). In the Dunham classification, these rocks typically correspond to grainstones and packstones."
discordance,Geological Boundary,"The NLD defines a discordance as a 'stratigraphic surface' that separates rock strata, which fits the definition of a Geological Boundary as a physical discontinuity on the external surface of a Geological Object.",ESTRUTURA_FISICA,"A discordance is a stratigraphic surface of erosion or non-deposition that separates younger strata from older underlying rocks, representing a significant hiatus in the geologic record. It is a fundamental feature in seismic and sequence stratigraphy, often forming the boundary of a depositional sequence."
calcite,Earth Material,"The NLD defines calcite as a rock-forming mineral and a constituent of rocks like limestone, which fits the definition of Earth Material as a natural amount of matter that constitutes geological objects.",MINERAIS,Calcite is a rock-forming carbonate mineral that corresponds to the most stable polymorph of calcium carbonate (CaCO₃) at surface conditions. It crystallizes in the trigonal system and is the principal constituent of limestone and marble. Its perfect rhombohedral cleavage and vigorous effervescence with dilute hydrochloric acid are its main diagnostic properties.
quartz,Earth Material,"The NLD describes quartz as a mineral and a primary constituent of various rocks, which aligns with the definition of Earth Material as a natural amount of matter.",MINERAIS,"Quartz is a tectosilicate mineral that consists of a continuous framework of silicon-oxygen tetrahedra, resulting in the chemical formula SiO₂. As one of the most abundant minerals in the Earth's continental crust, it is a primary constituent of felsic igneous rocks, sandstones, and many metamorphic rocks. Quartz is characterized by its trigonal crystal system, Mohs hardness of 7, and conchoidal fracture."
fault,Geological Structure,"The NLD defines a fault as a 'structure' involving a fracture and displacement, which aligns with the definition of a Geological Structure as the internal arrangement and configuration of a Geological Object.",ESTRUTURA_FISICA,"A fault is a planar or curviplanar fracture in a rock across which there has been significant displacement of the adjacent blocks parallel to the fracture surface. These structures accommodate strain in the Earth's crust and are critical elements in the formation of hydrocarbon traps. Faults are classified based on their slip direction, including normal, reverse, and strike-slip types."
continental,Depositional System,The NLD explicitly defines a continental paleoenvironment as a 'depositional system' that develops on a landmass.,PALEOAMBIENTE,"A continental paleoenvironment is a depositional system that develops on a landmass above mean sea level, where sedimentation is controlled by subaerial processes. It encompasses a range of settings, including fluvial, lacustrine, eolian, and glacial environments. The resulting deposits are characteristically non-marine and often reflect the prevailing climatic and tectonic conditions."
fault,Geological Structure,"The NLD explicitly defines a fault as a 'geological structure,' which aligns with the GeoCore category that describes the internal arrangement of a Geological Object and lists 'fault' as an example.",ESTRUTURA_FISICA,"A fault is a geological structure represented by a fracture or a zone of fractures along which there has been observable shear displacement of the adjacent rock blocks. This brittle deformation feature is a result of tectonic or non-tectonic stresses that exceed the rock's elastic limit. In hydrocarbon exploration, faults are critical elements that can form structural traps or act as conduits or barriers to fluid migration and accumulation."
Barremian,Geological Time Interval,"The NLD explicitly defines the term as a specific time interval, from approximately 129.4 to 125.0 million years ago, which directly matches the definition of a Geological Time Interval.",UNIDADE_CRONO,"The Barremian is a chronostratigraphic stage of the Lower Cretaceous Series that is positioned stratigraphically above the Hauterivian Stage and below the Aptian Stage. As a geologic age, it encompasses the time interval from approximately 129.4 to 125.0 million years ago. This interval is critical for the deposition of the pre-salt lacustrine carbonate successions in the South Atlantic marginal basins."
Bacia de Santos,Sedimentary Geological Object,"The NLD explicitly defines the term as a 'sedimentary basin', which is a large-scale geological object constituted by sedimentary rocks and sediments.",BACIA,"The Santos Basin is a sedimentary basin located on the southeastern Brazilian passive margin that contains Brazil's most significant hydrocarbon accumulations in pre-salt carbonate reservoirs. Its geological evolution is linked to the Cretaceous rifting of the South Atlantic Ocean, which led to the deposition of a thick Aptian evaporitic sequence that acts as the primary regional seal for the pre-salt petroleum system. The basin is bounded to the north by the Cabo Frio High and to the south by the Florianópolis High."
barite,Earth Material,"The NLD defines barite as a mineral consisting of barium sulfate, which is a natural amount of matter generated by geological processes.",MINERAIS,Barite is a sulfate mineral that consists of barium sulfate (BaSO₄) and is principally characterized by its high specific gravity and orthorhombic crystal system. It is the primary ore of barium and commonly occurs as a gangue mineral in hydrothermal veins or as a diagenetic component in sedimentary rocks. Barite's chemical inertness and high density make it a critical weighting agent in drilling fluids used in oil and gas exploration.
micrite,Sedimentary Rock,"The NLD defines micrite as the 'lithified' and 'consolidated equivalent of carbonate mud' that constitutes carbonate rocks, fitting the definition of a rock made from sedimentary particles.",MINERAIS,"Micrite is a form of microcrystalline calcite that constitutes the fine-grained, lithified matrix of carbonate rocks, with individual crystals typically being less than four micrometers in diameter. It is the consolidated equivalent of carbonate mud, appearing dense and opaque in thin section. The term itself is a portmanteau derived from ""microcrystalline calcite""."
pyrite,Earth Material,"The NLD defines pyrite as a mineral composed of iron disulfide, which is a natural amount of matter generated by a geological process.",MINERAIS | ROCHA,"Pyrite is a sulfide mineral that is composed of iron disulfide (FeS₂), crystallizes in the isometric system, and is characterized by its pale brass-yellow hue and metallic luster. As the most common sulfide mineral, it forms in diverse geological environments from hydrothermal to sedimentary. Its presence in sedimentary rocks often indicates formation under reducing conditions."
halite,Sedimentary Rock,"The NLD defines halite as an 'evaporite rock,' which is a specific type of rock formed through sedimentary processes.",ROCHA,"Halite is a monomineralic evaporite rock that is composed almost exclusively of the mineral halite (NaCl), precipitated from the evaporation of hypersaline water. It commonly forms extensive, crystalline layers that are highly ductile and act as effective seals for hydrocarbon accumulations."
siltstone,Sedimentary Rock,"The NLD explicitly defines the term as a 'sedimentary rock' composed of consolidated particles, which directly matches the category definition.",ROCHA,"A siltstone is a siliciclastic sedimentary rock that is composed predominantly of consolidated silt-sized particles, defined as having grain diameters between 4 and 62.5 micrometers."
siltstone,Sedimentary Rock,"The NLD explicitly defines the term as a 'sedimentary rock' composed of consolidated particles, which directly matches the category definition.",ROCHA,"A siltstone is a siliciclastic sedimentary rock that is composed predominantly of consolidated silt-sized particles, whose diameters typically range from 4 to 62.5 micrometers. It is distinguished from sandstone by its finer grain size and from shale by its characteristic lack of fissility. As a type of mudrock, it represents an intermediate texture between claystone and very fine-grained sandstone."
sandstone,Sedimentary Rock,"The NLD explicitly defines sandstone as a 'sedimentary rock' that is 'consolidated and composed predominantly of sand-sized clasts', which directly matches the category definition.",ROCHA,"A sandstone is a siliciclastic sedimentary rock that is consolidated and composed predominantly of sand-sized clasts, ranging from 0.0625 to 2 millimeters in diameter. These clasts, typically quartz, feldspar, or lithic fragments, are bound together by a mineral cement or a finer-grained matrix."
framestone,Sedimentary Rock,The NLD explicitly defines framestone as a type of 'carbonate rock' constituted by a framework of organisms and filled with sediment.,ROCHA,"A framestone is an autochthonous carbonate rock that is supported by a rigid, three-dimensional framework constructed by organisms that grew in-situ. According to the Embry and Klovan (1971) classification, the original voids within this framework are typically filled with a finer-grained carbonate sediment. The framework-building organisms are essential for the rock's structural integrity and depositional fabric."
feldspar,Earth Material,"The NLD defines feldspar as a group of rock-forming minerals, which is a type of natural solid matter that constitutes rocks.",MINERAIS,"Feldspar is a group of rock-forming tectosilicate minerals that consists of aluminosilicates with a three-dimensional framework structure and includes the alkali feldspar (K-Na) and plagioclase (Na-Ca) solid solution series. As the most abundant mineral group in the Earth's crust, feldspars are fundamental constituents of most igneous, metamorphic, and sedimentary rocks."
dolomudstone,Sedimentary Rock,"The NLD defines the term as a type of dolostone, which is a consolidated rock, based on its texture and grain content.",ROCHA,A dolomudstone is a dolostone that exhibits a mud-supported texture and contains less than 10% grains.
boundstone,Sedimentary Rock,"The NLD defines boundstone as a type of carbonate rock whose components were bound together at the time of deposition, fitting the definition of a rock constituted by sedimentary particles.",ROCHA,"A boundstone is a carbonate rock whose original components were bound together by organisms at the time of deposition. This in-situ binding creates a rigid, self-supporting organic framework, the fabric of which is preserved in the rock. Common examples include coral reefs, stromatolites, and bryozoan mounds."
mound,Mound Unit,"The NLD describes a positive topographic feature, typically dome- or lens-shaped, built by sediment accumulation, which directly aligns with the definition of a Mound Unit having Mound Geometry.",ESTRUTURA_FISICA,"A mound is a carbonate buildup that forms a positive topographic feature, typically dome- or lens-shaped, constructed by the in-situ accumulation of organisms or sediment. It is distinguished from a reef by the characteristic lack of a macroscopic, rigid organic framework. These structures are often of microbial origin or formed by the baffling and trapping of sediment by non-framework organisms."
intraclastic,quality,The term describes a quality that a geological fragment possesses by virtue of having undergone the specific geological processes of erosion and redeposition.,FOSSEIS,An intraclastic fossil is a fossil or biogenic fragment that has been eroded from a contemporaneous or penecontemporaneous semi-consolidated sediment and redeposited as a clast within the same depositional basin.
magnesite,Rock,"The NLD explicitly defines the term as a 'monomineralic carbonate rock,' which aligns with the GeoCore definition of a solid, consolidated Earth Material.",MINERAIS | ROCHA,"Magnesite is a magnesium carbonate mineral that has the chemical formula MgCO₃ and belongs to the calcite group. The term also designates a monomineralic carbonate rock that is composed almost entirely of the mineral magnesite. It typically forms through the metasomatic alteration of ultramafic or carbonate rocks, or as a primary chemical precipitate in evaporitic environments."
scar,Geological Boundary,"The NLD defines a scar as a 'surface of rupture' and a 'face of stable ground', which fits the definition of a physical discontinuity on the external surface of a Geological Object.",ESTRUTURA_FISICA,"A scar is a surface of rupture that represents the source area of a mass movement feature, such as a landslide or slump. It is the steep, often concave-upward face of stable ground left exposed after the detachment of the failed material."
smectite,Earth Material,"The NLD defines smectite as a group of minerals, which is a natural amount of solid matter generated by a geological process.",MINERAIS | ROCHA,Smectite is a group of 2:1 phyllosilicate minerals that is characterized by a permanent negative layer charge which allows for a high cation exchange capacity and significant interlayer swelling upon absorption of water or other polar molecules.
mica,Earth Material,"The NLD defines mica as a group of minerals, which is a natural amount of solid matter generated by a geological process, fitting the definition of an Earth Material.",MINERAIS,"Mica is a group of hydrous sheet silicate (phyllosilicate) minerals that is defined by a layered atomic structure which imparts a nearly perfect basal cleavage. This distinctive cleavage allows the mineral to be easily split into thin, flexible, and often elastic laminae. Common rock-forming micas include the light-colored muscovite and the dark-colored biotite."
Eocene,Geological Time Interval,"The NLD defines Eocene as a geologic epoch that spans a specific range of time (56 to 33.9 million years ago), which is the definition of a Geological Time Interval.",UNIDADE_CRONO,"The Eocene is a geologic epoch of the Paleogene Period, positioned between the Paleocene and Oligocene epochs, that spans the time from 56 to 33.9 million years ago. It is characterized by the appearance of the first modern mammal orders and a significant global warming event at its onset, the Paleocene-Eocene Thermal Maximum (PETM)."
floatstone,Sedimentary Rock,"The NLD explicitly defines floatstone as a type of 'carbonate rock' based on its texture and components, fitting the definition of a rock constituted by sedimentary grains.",ROCHA,"A floatstone is a matrix-supported carbonate rock that contains more than 10% of components larger than 2 millimeters in diameter. These large components appear to be floating within a finer-grained matrix. This texture distinguishes it from a wackestone, which has fewer large components, and a rudstone, which is clast-supported."
fracture,Geological Boundary,"The NLD defines a fracture as a 'surface of mechanical discontinuity within a rock,' which directly aligns with the definition of a Geological Boundary as a physical discontinuity.",ESTRUTURA_FISICA,"A fracture is a surface of mechanical discontinuity within a rock that is formed by brittle failure when applied stress exceeds the rock's strength. This general term encompasses joints, which are characterized by opening displacement, and faults, which exhibit shear displacement along the fracture plane. In reservoir geology, fracture networks are critical as they can significantly enhance or act as barriers to fluid flow, controlling the secondary permeability and porosity of the rock."
conglomerate,Sedimentary Rock,The NLD explicitly defines a conglomerate as a 'clastic sedimentary rock' constituted by a collection of sedimentary grains (clasts) and a matrix.,ROCHA,"A conglomerate is a clastic sedimentary rock that is composed predominantly of rounded to sub-rounded clasts larger than two millimeters in diameter. These gravel-sized fragments are set in a matrix of finer-grained sediment, such as sand or silt, and are commonly cemented by precipitated minerals. The rounded nature of the clasts indicates significant transport by water or ice prior to deposition."
argillite,Sediment,"The NLD defines the term as an 'unconsolidated... sediment', which directly aligns with the definition of the Sediment category.",NAO_CONSOLID,An argillite is an unconsolidated siliciclastic sediment that is composed predominantly of clay-sized particles.
cementstone,Sedimentary Rock,"The NLD defines the term as a type of carbonate rock distinguished by its sedimentary fabric, where depositional components float within a cement matrix.",ROCHA,"A cementstone is a crystalline carbonate rock that is supported by its constituent, in situ precipitated cement. Any original depositional components are not in contact and appear to float within the cement matrix. This fabric distinguishes it from grain-supported or mud-supported carbonate rocks."
Neoproterozoic,Geological Time Interval,"The NLD defines the term as a 'geochronologic era' with a specific start and end time (1,000 to 538.8 million years ago), which is a temporal region within Global Geological Time.",UNIDADE_CRONO,"The Neoproterozoic is a geochronologic era of the Proterozoic Eon that extends from 1,000 to 538.8 million years before the present. It constitutes the terminal subdivision of the Precambrian, immediately preceding the Paleozoic Era. This era is characterized by major tectonic events, such as the breakup of the supercontinent Rodinia, and the evolutionary radiation of the first complex multicellular life, the Ediacaran biota."
shell,Geological Object,"The NLD describes a shell as a rigid, biomineralized entity with its own identity and unity, which becomes part of the geological record as a fossil.",FOSSEIS,"A shell is a rigid, biomineralized exoskeleton that is secreted by an invertebrate animal to enclose and protect its soft tissues. It is characteristically produced by organisms such as mollusks, brachiopods, and ostracods, and is commonly composed of calcium carbonate minerals like calcite or aragonite. The preservation of shells in the geological record provides crucial fossil evidence for paleoenvironmental reconstructions and biostratigraphy."
Proterozoic,Geological Time Interval,"The NLD defines the term as a 'geologic eon' that 'spans the time interval' from 2,500 to 538.8 million years ago, which directly matches the definition of a Geological Time Interval.",UNIDADE_CRONO,"The Proterozoic is a geologic eon that spans the time interval from 2,500 to 538.8 million years ago, positioned between the Archean and Phanerozoic eons. This unit of geologic time is characterized by the stabilization of continents and the significant accumulation of atmospheric oxygen, known as the Great Oxidation Event. The end of the Proterozoic is marked by the emergence of complex multicellular life, including the Ediacaran biota."
siliciclastic,Sedimentary Rock,The NLD explicitly defines the term as a type of sedimentary rock composed of silicate mineral clasts.,ROCHA,"A siliciclastic rock is a sedimentary rock that is composed predominantly of clasts of silicate minerals, such as quartz, feldspar, and clay minerals, and/or lithic fragments. These components are derived from the weathering and erosion of pre-existing rocks and have been transported and deposited as solid particles. Common examples include sandstone, siltstone, and shale."
talc,Earth Material,"The NLD defines talc as a mineral composed of a specific silicate, which is a natural amount of solid matter generated by geological processes, fitting the definition of Earth Material.",MINERAIS,"Talc is a phyllosilicate mineral that is composed of hydrated magnesium silicate and is used as the defining mineral for the lowest hardness value, 1, on the Mohs scale. It is characterized by its soapy or greasy feel, perfect basal cleavage, and a foliated to massive habit. This mineral typically forms as a secondary product from the hydrothermal alteration or metamorphism of magnesium-rich rocks, such as serpentinite or dolomite."
calcimudstones,Sedimentary Rock,"The NLD explicitly defines the term as a type of 'carbonate sedimentary rock', which is a direct instance of the Sedimentary Rock category.",ROCHA,"Calcimudstones are carbonate sedimentary rocks that are characterized by a mud-supported fabric and contain less than 10% grains (allochems) embedded in a fine-grained carbonate mud matrix (micrite). These rocks typically form in low-energy depositional environments, such as deep marine settings or protected lagoons, where fine particles can settle out of suspension. Due to their matrix-dominated texture, they generally exhibit low primary porosity and permeability, often acting as seals or source rocks unless subsequently altered by fracturing or diagenesis."
Paleoproterozoic,Geological Time Interval,"The NLD defines the term as a 'geologic era' and an 'interval of geologic time' with a specific start and end date (2,500 to 1,600 million years ago).",UNIDADE_CRONO,"The Paleoproterozoic is the first geologic era of the Proterozoic Eon that extends from 2,500 to 1,600 million years ago. This interval of geologic time is marked by the initial stabilization of continental cratons and the significant rise of atmospheric oxygen known as the Great Oxidation Event."
Parana,Depositional System,"The NLD describes the Paraná Basin as being filled with a 'thick succession' of rocks, which fits the definition of an aggregate of mereotopologically linked depositional units.",BACIA,"The Paraná Basin is a large intracratonic sedimentary basin in south-central South America that is filled by a thick succession of Paleozoic and Mesozoic sedimentary and volcanic rocks. It is notably characterized by the extensive flood basalts of the Serra Geral Formation, which constitutes one of the world's largest continental igneous provinces."
mollusk,Geological Object,"The NLD describes a fossil mollusk as the preserved remains of an animal, which is a rigid entity with its own identity and unity criteria, formed by geological processes.",FOSSEIS,"A fossil mollusk is a fossil that consists of the preserved remains or traces of an invertebrate animal belonging to the phylum Mollusca. These fossils are abundant in the geological record from the Cambrian to the present, commonly preserved as their original calcareous shells or as molds and casts within sedimentary rocks. They are significant as both index fossils for biostratigraphic correlation and as primary rock-forming components, such as in the bivalve coquinas that constitute important carbonate reservoirs."
failure,Geological Structure,"The NLD explicitly defines failure as a 'geological structure' that results from deformation and gives faults and fractures as examples, which aligns with the GeoCore definition.",ESTRUTURA_FISICA,"A failure is a geological structure that results from the loss of cohesion and mechanical strength of a rock mass when subjected to stresses that exceed its resistance. This process can manifest as brittle deformation, such as faults and fractures, or as ductile deformation and mass movements."
ripple,Sedimentary Structure,The NLD explicitly defines a ripple as a 'sedimentary structure' and describes its pattern of ridges and troughs.,ESTRUTURA_FISICA,"A ripple is a sedimentary structure that consists of a series of small-scale, subparallel ridges and troughs formed on a granular surface by the action of a moving fluid. Its morphology, whether symmetrical or asymmetrical, is indicative of the hydrodynamic conditions of the depositional environment, such as oscillatory wave action or unidirectional currents, respectively."
scarp,Geological Boundary,"The NLD defines a scarp as a feature that separates two surfaces of different elevations, which aligns with the concept of a physical discontinuity on the surface of a geological object.",ESTRUTURA_FISICA,A scarp is a geomorphological feature that consists of a steep slope or cliff formed by tectonic displacement along a fault or by differential erosion. This feature separates two surfaces of different elevations and can occur in both subaerial and submarine environments.
pelecypod,Geological Object,"The NLD describes a fossil as a distinct, rigid entity with its own identity, formed by the geological process of fossilization, which aligns with the definition of a Geological Object.",FOSSEIS,"A pelecypod is a fossil of a bivalve mollusk characterized by a shell composed of two hinged, calcareous valves that are typically mirror images of one another. These fossils are common rock-forming components in marine and freshwater sedimentary successions. They serve as important paleoenvironmental indicators and are used in biostratigraphy."
bioclasts,Sediment,"The NLD defines bioclasts as 'sedimentary particles' that are components of rocks, which directly aligns with the definition of Sediment as an unconsolidated material made of sedimentary grains or particles.",FOSSEIS,"Bioclasts are sedimentary particles that are derived from the fragmentation of the hard parts of organisms, such as shells, skeletons, or tests. These constituents are fundamental components of many carbonate rocks, where they can be preserved as fossils. Their identification provides crucial information about the depositional environment and age of the rock."
spherulites,Sedimentary Geological Object,"The NLD defines spherulites as 'carbonate grains,' which are physical objects constituted by sedimentary material, fitting the definition of a Sedimentary Geological Object.",ROCHA,"Spherulites are subspherical, sand-sized carbonate grains that are characterized by an internal fabric of radially arranged acicular crystals, typically calcite or aragonite, originating from a central point. They are a type of non-skeletal allochem formed by direct physicochemical precipitation, often with microbial influence, in specific depositional environments such as alkaline lacustrine systems."
contact,Geological Boundary,"The NLD defines a contact as a 'surface that marks the physical interface between adjacent rock units,' which directly aligns with the definition of a Geological Boundary as a physical discontinuity on the external surface of a Geological Object.",ESTRUTURA_FISICA,"A contact is a surface that marks the physical interface between adjacent rock units of differing lithology, age, or structural history. This interface can be depositional, such as the boundary between two sedimentary layers; intrusive, where an igneous body cuts across existing rock; or tectonic, where the juxtaposition is caused by a fault."
